conf/dasfaa/Yu99	conf/sigmod/AggarwalWY99
conf/dasfaa/Yu99	conf/icde/AggarwalY98
conf/dasfaa/Yu99	conf/kdd/AggarwalSY98
conf/dasfaa/Yu99	conf/pods/AggarwalY98
conf/dasfaa/Yu99	conf/sigmod/AgrawalIS93
conf/dasfaa/Yu99	conf/vldb/AgrawalS94
conf/dasfaa/Yu99	journals/cacm/BalabanovicS97
conf/dasfaa/Yu99	conf/sigmod/Bayardo98
conf/dasfaa/Yu99	conf/sigmod/BrinMS97
conf/dasfaa/Yu99	journals/tkde/ChenHY96
conf/dasfaa/Yu99	conf/sigir/CuttingKP93
conf/dasfaa/Yu99	conf/kdd/EsterKX95
conf/dasfaa/Yu99	conf/ssd/EsterKX95
conf/dasfaa/Yu99	conf/kdd/EsterKSX96
conf/dasfaa/Yu99	journals/cacm/GoldbergNOT92
conf/dasfaa/Yu99	conf/sigir/HearstP96
conf/dasfaa/Yu99	books/ph/JainD88
conf/dasfaa/Yu99	conf/pods/BerchtoldBKK97
conf/dasfaa/Yu99	conf/kdd/KohaviS95
conf/dasfaa/Yu99	conf/aaai/KrulwichB96
conf/dasfaa/Yu99	conf/icml/Lang95
conf/dasfaa/Yu99	conf/edbt/MehtaAR96
conf/dasfaa/Yu99	conf/vldb/NgH94
conf/dasfaa/Yu99	journals/tkde/ParkCY97
conf/dasfaa/Yu99	journals/ml/Quinlan86
conf/dasfaa/Yu99	conf/cscw/ResnickISBR94
conf/dasfaa/Yu99	journals/cacm/ResnickV97
conf/dasfaa/Yu99	books/aw/Salton89
conf/dasfaa/Yu99	conf/sigmod/SeidlK98
conf/dasfaa/Yu99	conf/chi/ShardanandM95
conf/dasfaa/Yu99	conf/vldb/ShaferAM96
conf/dasfaa/Yu99	conf/vldb/SrikantA95
conf/dasfaa/Yu99	conf/sigmod/SrikantA96
conf/dasfaa/Yu99	conf/sigmod/ZhangRL96
conf/sigmod/RiedelFGN00	conf/asplos/AcharyaUS98
conf/sigmod/RiedelFGN00	journals/tkde/AgrawalS96
conf/sigmod/RiedelFGN00	conf/vldb/BrownCL93
conf/sigmod/RiedelFGN00	journals/sigmod/ChaudhuriD97
conf/sigmod/RiedelFGN00	conf/sigmod/GuhaRS98
conf/sigmod/RiedelFGN00	journals/sigmod/KeetonPH98
conf/sigmod/RiedelFGN00	conf/vldb/KornLKF98
conf/sigmod/RiedelFGN00	conf/vldb/RiedelGF98
conf/sigmod/RiedelFGN00	journals/computer/RuemmlerW94
conf/sigmod/RiedelFGN00	conf/cikm/Widom95
conf/sigmod/RiedelFGN00	conf/sigmetrics/WorthingtonGP94
conf/sigmod/RiedelFGN00	conf/sigmetrics/WorthingtonGPW95
conf/sigmod/RiedelFGN00	journals/datamine/ZhangRL97
conf/sigmod/HanKS97	conf/vldb/AgrawalS94
conf/sigmod/HanKS97	journals/tkde/ChenHY96
conf/sigmod/HanKS97	journals/tkde/Egenhofer94
conf/sigmod/HanKS97	conf/kdd/EsterKSX96
conf/sigmod/HanKS97	books/mit/FayyadPSU96
conf/sigmod/HanKS97	journals/vldb/Guting94
conf/sigmod/HanKS97	journals/tkde/HanCC93
conf/sigmod/HanKS97	conf/vldb/HanF95
conf/sigmod/HanKS97	conf/kdd/HanFWCGKLLRSXZ96
conf/sigmod/HanKS97	conf/ssd/KoperskiH95
conf/sigmod/HanKS97	conf/vldb/NgH94
conf/sigmod/HanKS97	conf/sigmod/ZhangRL96
conf/sigmod/HanKK97	conf/sigmod/AgrawalIS93
conf/sigmod/HanKK97	conf/vldb/AgrawalS94
conf/sigmod/HanKK97	journals/tkde/AgrawalS96
conf/sigmod/HanKK97	conf/vldb/HanF95
conf/sigmod/HanKK97	conf/sigmod/HanKK97
conf/sigmod/HanKK97	conf/icde/HoutsmaS95
conf/sigmod/HanKK97	books/bc/KumarGGK94
conf/sigmod/HanKK97	conf/kdd/MannilaTV95
conf/sigmod/HanKK97	books/ph/PapadimitriouS82
conf/sigmod/HanKK97	conf/vldb/SrikantA95
conf/sigmod/HanKK97	conf/edbt/SrikantA96
conf/sigmod/HanKK97	conf/vldb/StonebrakerADNR93
conf/sigmod/HanKK97	conf/vldb/SavasereON95
conf/sigmod/AgrawalS00	conf/vldb/AgrawalGIIS92
conf/sigmod/AgrawalS00	conf/kdd/Agrawal99
conf/sigmod/AgrawalS00	journals/csur/AdamW89
conf/sigmod/AgrawalS00	journals/debu/BarbaraDFHHIJJNPRS97
conf/sigmod/AgrawalS00	journals/tods/Beck80
conf/sigmod/AgrawalS00	journals/cacm/Benassi99
conf/sigmod/AgrawalS00	books/wa/BreimanFOS84
conf/sigmod/AgrawalS00	journals/sigmod/BarbaraS97
conf/sigmod/AgrawalS00	journals/tse/ChinO82
conf/sigmod/AgrawalS00	journals/cacm/Cranor99
conf/sigmod/AgrawalS00	journals/tods/DenningDS79
conf/sigmod/AgrawalS00	journals/tods/Denning80
conf/sigmod/AgrawalS00	books/aw/Denning82
conf/sigmod/AgrawalS00	journals/tods/DobkinJL79
conf/sigmod/AgrawalS00	conf/dawak/Estivill-CastroB99
conf/sigmod/AgrawalS00	conf/vldb/FaloutsosJS97
conf/sigmod/AgrawalS00	journals/tods/LiewCL85
conf/sigmod/AgrawalS00	journals/cacm/LauEW99
conf/sigmod/AgrawalS00	conf/vldb/LefonsST83
conf/sigmod/AgrawalS00	conf/edbt/MehtaAR96
conf/sigmod/AgrawalS00	books/eh/MichieST94
conf/sigmod/AgrawalS00	journals/cacm/Oppliger97
conf/sigmod/AgrawalS00	books/mk/Quinlan93
conf/sigmod/AgrawalS00	journals/tods/Reiss84
conf/sigmod/AgrawalS00	journals/computer/RubinG98
conf/sigmod/AgrawalS00	conf/vldb/ShaferAM96
conf/sigmod/AgrawalS00	conf/vldb/Shoshani82
conf/sigmod/AgrawalS00	journals/tkde/StachourT90
conf/sigmod/AgrawalS00	journals/tods/TraubYW84
conf/sigmod/AgrawalS00	conf/sigmod/YuC77
conf/sigmod/HanFHCC94	conf/vldb/HanCC92
conf/sigmod/HanFHCC94	journals/tkde/HanCC93
conf/sigmod/HanFHCC94	books/mit/PiatetskyF91
conf/sigmod/HanFHCC94	journals/cacm/SilberschatzSU91
conf/sigmod/NgLK98	conf/vldb/AgrawalGIIS92
conf/sigmod/NgLK98	conf/vldb/AgrawalS94
conf/sigmod/NgLK98	conf/icde/AgrawalS95
conf/sigmod/NgLK98	conf/sigmod/SrikantA96
conf/sigmod/NgLK98	conf/vldb/HanF95
conf/sigmod/NgLK98	conf/aaai/KiraR92
conf/sigmod/NgLK98	journals/ml/Quinlan86
conf/sigmod/NgLK98	books/mk/Quinlan93
conf/sigmod/ZaianeHLCC98	journals/datamine/BhandariCPPPR97
conf/sigmod/ZaianeHLCC98	conf/kdd/Czyzewski96
conf/sigmod/ZaianeHLCC98	books/mit/FayyadPSU96
conf/sigmod/ZaianeHLCC98	journals/computer/FlicknerSAHDGHLPSY95
conf/sigmod/ZaianeHLCC98	conf/vldb/OzdenBRS94
conf/sigmod/FukudaMMT96	conf/soda/AsanoCKT96
conf/sigmod/FukudaMMT96	conf/vldb/AgrawalGIIS92
conf/sigmod/FukudaMMT96	journals/tkde/AgrawalIS93
conf/sigmod/FukudaMMT96	conf/sigmod/AgrawalIS93
conf/sigmod/FukudaMMT96	journals/algorithmica/AggarwalKMSW87
conf/sigmod/FukudaMMT96	conf/vldb/AgrawalS94
conf/sigmod/FukudaMMT96	journals/cacm/Bentley84g
conf/sigmod/FukudaMMT96	books/wa/BreimanFOS84
conf/sigmod/FukudaMMT96	conf/fct/FischerHLL93
conf/sigmod/FukudaMMT96	conf/pods/FukudaMMT96
conf/sigmod/FukudaMMT96	journals/siamam/GareyJ77
conf/sigmod/FukudaMMT96	conf/vldb/HanCC92
conf/sigmod/FukudaMMT96	conf/icde/KeimKS94
conf/sigmod/FukudaMMT96	conf/edbt/MehtaAR96
conf/sigmod/FukudaMMT96	conf/vldb/NgH94
conf/sigmod/FukudaMMT96	conf/vldb/NgH94
conf/sigmod/FukudaMMT96	conf/sigmod/ParkCY95
conf/sigmod/FukudaMMT96	books/mit/PF91/Piatetsky91
conf/sigmod/FukudaMMT96	books/mit/PiatetskyF91
conf/sigmod/FukudaMMT96	journals/ml/Quinlan86
conf/sigmod/FukudaMMT96	books/mk/Quinlan93
conf/sigmod/FukudaMMT96	conf/sigmod/SrikantA96
conf/sigmod/FukudaMMT96	conf/vldb/StonebrakerADNR93
conf/sigmod/AgrawalGGR98	books/aw/AhoHU74
conf/sigmod/AgrawalGGR98	conf/sigmod/Bayardo98
conf/sigmod/AgrawalGGR98	conf/pods/BerchtoldBKK97
conf/sigmod/AgrawalGGR98	conf/sigmod/BrinMUT97
conf/sigmod/AgrawalGGR98	conf/kdd/EsterKSX96
conf/sigmod/AgrawalGGR98	conf/kdd/EsterKX95
conf/sigmod/AgrawalGGR98	books/mit/FayyadPSU96
conf/sigmod/AgrawalGGR98	conf/pods/GunopulosKMT97
conf/sigmod/AgrawalGGR98	conf/sigmod/HoAMS97
conf/sigmod/AgrawalGGR98	conf/edbt/LinK98
conf/sigmod/AgrawalGGR98	conf/stoc/LundY93
conf/sigmod/AgrawalGGR98	conf/edbt/MehtaAR96
conf/sigmod/AgrawalGGR98	conf/sigmod/YangM97
conf/sigmod/AgrawalGGR98	conf/vldb/NgH94
conf/sigmod/AgrawalGGR98	conf/vldb/ShaferAM96
conf/sigmod/AgrawalGGR98	conf/sigmod/SrikantA96
conf/sigmod/AgrawalGGR98	conf/vldb/Toivonen96
conf/sigmod/AgrawalGGR98	conf/sigmod/ZhangRL96
conf/sigmod/PalmerF00	books/aw/AhoSU86
conf/sigmod/PalmerF00	conf/kdd/BradleyFR98
conf/sigmod/PalmerF00	conf/trec/BuckleyMWC97
conf/sigmod/PalmerF00	conf/vldb/FaloutsosJ92
conf/sigmod/PalmerF00	conf/vldb/FaloutsosMS96
conf/sigmod/PalmerF00	conf/kdd/FayyadRB98
conf/sigmod/PalmerF00	conf/sigmod/GibbonsM98
conf/sigmod/PalmerF00	conf/sigmod/GuhaRS98
conf/sigmod/PalmerF00	conf/vldb/HaasNSS95
conf/sigmod/PalmerF00	conf/sigmod/HellersteinHW97
conf/sigmod/PalmerF00	conf/sigmod/OlkenRX90
conf/sigmod/PalmerF00	books/ph/frakesB92/Rasmussen92
conf/sigmod/PalmerF00	books/fm/Schroeder91
conf/sigmod/PalmerF00	journals/toms/Vitter85
conf/sigmod/PalmerF00	conf/sigir/ZamirE98
conf/sigmod/PalmerF00	conf/sigmod/ZhangRL96
conf/sigmod/PalmerF00	books/aw/Zipf49
conf/sigmod/LiS98	journals/cacm/CarrieroG89
conf/sigmod/LiS98	books/mk/Quinlan93
conf/sigmod/LiS98	conf/sigmod/WangCMSSZ94
conf/vldb/KornLKF98	journals/tkde/AgrawalIS93
conf/vldb/KornLKF98	conf/sigmod/AgrawalIS93
conf/vldb/KornLKF98	journals/tkde/AgrawalS96
conf/vldb/KornLKF98	conf/vldb/AgrawalS94
conf/vldb/KornLKF98	conf/kdd/ArningAR96
conf/vldb/KornLKF98	conf/sigmod/BrinMS97
conf/vldb/KornLKF98	journals/tkde/ChenHY96
conf/vldb/KornLKF98	journals/cacm/FayyadU96
conf/vldb/KornLKF98	journals/cacm/FoltzD92
conf/vldb/KornLKF98	conf/vldb/HanF95
conf/vldb/KornLKF98	journals/tkde/Hou96
conf/vldb/KornLKF98	conf/sigmod/ParkCY95
conf/vldb/KornLKF98	books/cu/PressTVF92
conf/vldb/KornLKF98	books/mk/Quinlan93
conf/vldb/KornLKF98	books/mg/SaltonG83
conf/vldb/KornLKF98	conf/vldb/SavasereON95
conf/vldb/KornLKF98	journals/tkde/SilberschatzT96
conf/vldb/KornLKF98	conf/vldb/SrikantA95
conf/vldb/KornLKF98	conf/sigmod/SrikantA96
conf/vldb/LuSL95	conf/vldb/AgrawalGIIS92
conf/vldb/LuSL95	journals/tkde/AgrawalIS93
conf/vldb/LuSL95	journals/tkde/CerconeT93
conf/vldb/LuSL95	conf/vldb/HanCC92
conf/vldb/LuSL95	journals/tkde/MatheusCP93
conf/vldb/LuSL95	journals/jiis/Piatetsky-Shapiro95
conf/vldb/LuSL95	books/mk/Quinlan93
conf/vldb/HanCC92	books/mit/PF91/CaiCH91
conf/vldb/HanCC92	journals/tods/ChakravarthyGM90
conf/vldb/HanCC92	books/mit/PF91/ChanW91
conf/vldb/HanCC92	conf/eds/CuppensD88
conf/vldb/HanCC92	conf/aaai/Fisher87
conf/vldb/HanCC92	books/mit/PF91/FrawleyPM91
conf/vldb/HanCC92	journals/csur/GallaireMN84
conf/vldb/HanCC92	journals/tkde/HanCC93
conf/vldb/HanCC92	books/mit/PF91/KaufmanMK91
conf/vldb/HanCC92	conf/ijcai/ManagoK87
conf/vldb/HanCC92	journals/ai/Mitchell82
conf/vldb/HanCC92	conf/sigmod/MotroY90
conf/vldb/HanCC92	journals/tods/RothKS88
conf/vldb/HanCC92	conf/eds/ShumM88
conf/vldb/HanCC92	journals/cacm/SilberschatzSU91
conf/vldb/HanCC92	conf/aaai/SubramanianF86
conf/vldb/HanCC92	books/cs/Ullman88
conf/vldb/HanCC92	books/cs/Ullman89
conf/vldb/HanCC92	books/mit/PF91/ZytkowB91
conf/vldb/LakshmananJN00	conf/icde/AggarwalY98
conf/vldb/LakshmananJN00	conf/sigmod/AgrawalGGR98
conf/vldb/LakshmananJN00	conf/sigmod/AgrawalIS93
conf/vldb/LakshmananJN00	conf/vldb/AgrawalS94
conf/vldb/LakshmananJN00	conf/sigmod/AnkerstBKS99
conf/vldb/LakshmananJN00	conf/sigmod/BeckmannKSS90
conf/vldb/LakshmananJN00	journals/jacm/BenediktDLW98
conf/vldb/LakshmananJN00	conf/sigmod/BrinMS97
conf/vldb/LakshmananJN00	journals/debu/Chaudhuri98
conf/vldb/LakshmananJN00	conf/vldb/GarofalakisRS99
conf/vldb/LakshmananJN00	conf/icde/GrayBLP96
conf/vldb/LakshmananJN00	conf/sigmod/Guttman84
conf/vldb/LakshmananJN00	journals/jcss/GyssensBG99
conf/vldb/LakshmananJN00	conf/vldb/HanF95
conf/vldb/LakshmananJN00	conf/sigmod/Hidber99
conf/vldb/LakshmananJN00	journals/cacm/ImielinskiM96
conf/vldb/LakshmananJN00	conf/vldb/JagadishLS99
conf/vldb/LakshmananJN00	conf/kdd/JohnsonKN98
conf/vldb/LakshmananJN00	journals/jcss/KanellakisKR95
conf/vldb/LakshmananJN00	conf/cikm/KlemettinenMRTV94
conf/vldb/LakshmananJN00	conf/sigmod/LakshmananNHP99
conf/vldb/LakshmananJN00	journals/datamine/MannilaTV97
conf/vldb/LakshmananJN00	conf/vldb/MeoPC96
conf/vldb/LakshmananJN00	conf/vldb/NgH94
conf/vldb/LakshmananJN00	conf/sigmod/NgLHP98
conf/vldb/LakshmananJN00	conf/pods/ParedaensBG94
conf/vldb/LakshmananJN00	journals/ml/Quinlan86
conf/vldb/LakshmananJN00	conf/sigmod/SarawagiTA98
conf/vldb/LakshmananJN00	conf/vldb/SilversteinBMU98
conf/vldb/LakshmananJN00	conf/sigmod/TsurUACMNR98
conf/vldb/LakshmananJN00	conf/sigmod/ZhangRL96
conf/vldb/ShaferAM96	conf/vldb/AgrawalGIIS92
conf/vldb/ShaferAM96	journals/tkde/AgrawalIS93
conf/vldb/ShaferAM96	conf/cikm/ChanS93
conf/vldb/ShaferAM96	journals/tkde/DeWittGSBHR90
conf/vldb/ShaferAM96	conf/pdis/DeWittNS91
conf/vldb/ShaferAM96	books/aw/Goldberg89
conf/vldb/ShaferAM96	books/wi/James85
conf/vldb/ShaferAM96	conf/edbt/MehtaAR96
conf/vldb/ShaferAM96	books/eh/MichieST94
conf/vldb/ShaferAM96	journals/ml/Quinlan86
conf/vldb/ShaferAM96	books/mk/Quinlan93
conf/vldb/ShaferAM96	books/mk/WeissK90
conf/vldb/ShaferA97	conf/fodo/AgrawalFS93
conf/vldb/ShaferA97	conf/vldb/AgrawalLSS95
conf/vldb/ShaferA97	conf/icde/BrinkhoffKS96
conf/vldb/ShaferA97	conf/sigmod/BrinkhoffKS93
conf/vldb/ShaferA97	journals/tkde/DeWittGSBHR90
conf/vldb/ShaferA97	conf/sigmod/Faloutsos86
conf/vldb/ShaferA97	conf/sigmod/FaloutsosRM94
conf/vldb/ShaferA97	conf/sigmod/Jagadish90
conf/vldb/ShaferA97	conf/sigmod/KoudasS97
conf/vldb/ShaferA97	conf/ssd/LoR95
conf/vldb/ShaferA97	conf/sigmod/LoR96
conf/vldb/ShaferA97	journals/tods/NievergeltHS84
conf/vldb/ShaferA97	conf/pods/OrensteinM84
conf/vldb/ShaferA97	conf/sigmod/PatelD96
conf/vldb/ShaferA97	conf/icde/ShimSA97
conf/vldb/NgH94	conf/vldb/AgrawalGIIS92
conf/vldb/NgH94	conf/sigmod/AgrawalIS93
conf/vldb/NgH94	conf/vldb/ArefS91
conf/vldb/NgH94	conf/sigmod/BorgidaB93
conf/vldb/NgH94	conf/sigmod/BrinkhoffKS93
conf/vldb/NgH94	conf/icde/Gunther93
conf/vldb/NgH94	conf/vldb/HanCC92
conf/vldb/NgH94	conf/sigmod/IoannidisK90
conf/vldb/NgH94	conf/sigmod/Ioannidis87
conf/vldb/NgH94	conf/icde/KeimKS94
conf/vldb/NgH94	books/mit/PiatetskyF91
conf/vldb/NgH94	books/aw/Samet90
conf/vldb/ViverosNR96	conf/sigmod/AgrawalIS93
conf/vldb/ViverosNR96	conf/vldb/AgrawalS94
conf/vldb/RiedelGF98	conf/vldb/AgrawalS94
conf/vldb/RiedelGF98	journals/tkde/AgrawalS96
conf/vldb/RiedelGF98	conf/sigmod/Arpaci-DusseauACHP97
conf/vldb/RiedelGF98	conf/icde/AryaCFRT94
conf/vldb/RiedelGF98	conf/vldb/BerchtoldKK96
conf/vldb/RiedelGF98	conf/pods/BerchtoldBKK97
conf/vldb/RiedelGF98	conf/sosp/BershadSPSFBCE95
conf/vldb/RiedelGF98	conf/vldb/BittonG88
conf/vldb/RiedelGF98	conf/iwdm/BoralD83
conf/vldb/RiedelGF98	journals/tocs/CaoLVW94
conf/vldb/RiedelGF98	conf/vldb/DeWittH81
conf/vldb/RiedelGF98	conf/vldb/DeWittG85
conf/vldb/RiedelGF98	conf/pdis/DeWittNS91
conf/vldb/RiedelGF98	journals/cacm/DeWittG92
conf/vldb/RiedelGF98	conf/isca/DrapeauSHMSKLPLCG94
conf/vldb/RiedelGF98	journals/jiis/FaloutsosBFHNPE94
conf/vldb/RiedelGF98	journals/computer/FlicknerSAHDGHLPSY95
conf/vldb/RiedelGF98	conf/sigmetrics/GibsonNACFGLORRZ97
conf/vldb/RiedelGF98	books/aw/GoslingJS96
