Eric Lo	22.305748	114.179826
David W. Cheung	22.2840507	114.1378391
Zhenhui Li	40.7937047	-77.8681223
Ming Ji	45.803775	126.534967
Lu-An Tang	40.1105875	-88.2072697
Yintao Yu	40.6331249	-89.3985283
Mohamed Yakout	40.4131203	-86.9406509
Ahmed K. Elmagarmid	40.8018152	-77.8481049
Jennifer Neville	42.3951291	-72.5312372
Carlos Ordonez	25.7616798	-80.1917902
Javier García-García	19.3296228	-99.1853883
AnHai Doan	43.0765915	-89.4052247
M. Yasmina Santos	41.4548226	-8.2973961
Diana Gonçalves	41.44253	-8.2917857
Jorge Cruz	38.7222524	-9.1393366
Adnan Khashman	35.1189585	33.921798
C. L. Luengo Hendriks	8.4944302	76.9473164
Valerie Gouet-Brunet	48.837144	2.1107619
Maude Manouvrier	48.856614	2.3522219
Carlos A. Martínez-Ortiz	50.6921394	-3.4739613
Baihua Li	53.487286	-2.275025
Nicholas Costen	53.4807593	-2.2426305
Jinglu Tan	38.9290179	-92.3142621
Mark J. Li	22.337943	114.181587
Michael K. Ng	22.337943	114.181587
Zhihao Zhang	39.9946321	116.304625
Juan I. Godino-Llorente	40.3809156	-3.5863313
Shanq-Jang Ruan	25.041471	121.518577
H. Bustince	42.6953909	-1.6760691
E. Barrenechea	42.8059123	-1.6299338
D. S. Young	39.9510827	-75.602012
D. R. Hunter	39.9510827	-75.602012
Ian R. White	52.1728384	0.1422594
Patrick Royston	51.5256075	-0.136384
Fabrizio Consentino	50.8815197	4.6967578
Gerda Claeskens	50.8815197	4.6967578
David Afshartous	25.7875162	-80.194088
Richard A. Preston	25.7875162	-80.194088
Dexter O. Cahoy	32.531509	-92.6293223
Loizos Michael	42.3800977	-71.1166286
Daisuke Kitakoshi	35.1814464	136.906398
Josep Domingo-Ferrer	28.6793789	-106.1375785
Xiangping Bu	42.3574116	-83.0697777
Jia Rao	38.892083	-104.7972
C.-Z. Xu	42.3574116	-83.0697777
Andres Quiroz	40.521727	-74.460697
Manish Parashar	43.0385723	-76.1345172
Nathan Gnanasambandam	40.8018152	-77.8481049
Jonathan Eastep	42.3591	-71.0934
David Wingate	40.2525474	-111.6576145
A. Agarwal	48.4689721	-123.3151265
Kai Puolamäki	60.1698557	24.938379
A. Bertone	44.4056499	8.946256
Enrico Bertini	41.951969	12.5056904
Denis Lalanne	46.4658376	6.8532214
Christopher L. Carmichael	49.8096665	-97.1330969
Sebastian R. Spiegler	51.4771065	-2.6259899
Bruno Golénia	51.4771065	-2.6259899
Simon Price	51.455848	-2.6030754
John Guiver	42.3736158	-71.1097335
Ralf Herbrich	52.2046988	0.1197843
Thore Graepel	52.205337	0.121817
David Vogel	38.9338676	-77.1772604
Olufemi A. Omitaomu	36.01	-84.27
Ranga Raju Vatsavai	36.0103561	-84.2696449
Auroop R. Ganguly	36.0103561	-84.2696449
João Gama	41.1804589	-8.605948
Lise Getoor	38.9920364	-76.9367935
Gaston L'Huillier	-33.443809	-70.650391
Nicolas Figueroa	-33.443809	-70.650391
Dale A. Brajczuk	49.8096665	-97.1330969
Vincent Charvillat	43.6021758	1.4553538
John Oliensis	40.3572976	-74.6672226
Jun-Sik Kim	8.4944302	76.9473164
Pierre Gurdjos	43.5617391	1.4680172
Alexandre Benoit	48.837144	2.1107619
Barthélémy Durette	45.188529	5.724524
Nagesh Adluru	39.980825	-75.1495788
Haibin Ling	39.980825	-75.1495788
Vasilis Papadourakis	35.3387352	25.1442126
Dzulkifli Mohamad	1.4853682	103.7618154
Selim Aksoy	39.9333635	32.8597419
L. Bruzzone	46.0658551	11.1525516
Eckart Michaelsen	48.9475969	8.4114837
Uwe Stilla	48.1351253	11.5819806
Uwe Soergel	48.9475969	8.4114837
Leo Doktorski	48.9475969	8.4114837
Yinghua Wang	48.8262943	2.3464188
Florence Tupin	48.856614	2.3522219
Chong-Zhao Han	38.4965308	106.1373499
Guray Erus	48.8488576	2.3354223
Nicolas Loménie	48.8488576	2.3354223
S. Valero	64.1265206	-21.8174393
Hugues Talbot	-33.8688197	151.2092955
Sandra Eckert	45.8139584	8.6120782
M. Pesaresi	45.7786101	8.7471195
D. Ehrlich	45.7786101	8.7471195
Francesca Bovolo	46.0747793	11.1217486
Beril Sırmaçek	40.9794852	29.1419718
Cem ínsalan	40.9794852	29.1419718
Mounir Ait Kerroum	33.9715904	-6.8498129
Lourenco Bandeira	40.2033145	-8.4102573
Pedro Pina	38.7222524	-9.1393366
Thomas A. Lampert	53.9458093	-1.0468076
Simon O'Keefe	51.3085131	1.069896
J. P. Collomosse	51.3639371	-2.325886
Y. K. Lai	39.9990443	116.3246671
Cosmin Lazar	49.258329	4.031696
Andrei Doncescu	43.604652	1.444209
Nabil Kabbaj	43.604652	1.444209
Mordechai Gal-Or	40.434792	-79.989189
Jerrold H. May	40.4424402	-79.9531948
Sergio Manuel Serra da Cruz	-22.8648391	-43.2200531
Vanessa Batista	-22.8648391	-43.2200531
Edno Silva	-22.8648391	-43.2200531
Frederico Tosta	-22.8648391	-43.2200531
Clarissa Vilela	-22.8648391	-43.2200531
Márcio Dorn	-30.060644	-51.1741878
Osmar Norberto de Souza	-28.3181707	-52.7920984
Antonina Mitrofanova	35.712815	135.9711705
Bhubaneswar Mishra	31.777508	-106.496973
Jieyue He	32.0561898	118.7913915
S. Pellicer	32.5297685	-83.90536
Wai-Ki Ching	22.396428	114.109497
Yi Zhang	30.6313589	104.0809402
Geoffrey C. Fox	39.1670467	-86.5269373
Yanshan Xiao	23.12911	113.264385
Frank McSherry	37.3860517	-122.0838511
Guang-tong Zhou	36.6716339	117.0593187
Marian Kogler	46.6364598	14.3122246
Luigi Di Caro	45.01923	7.63375
Kimiaki Shirahama	34.690083	135.1955112
Kuniaki Uehara	34.6937378	135.5021651
Sangkyum Kim	40.1059233	-88.2120315
Brandyn White	28.585792	-81.208892
Larry S Davis	38.9784157	-76.9282872
Jeongyoun Ahn	35.905249	-79.0581498
