name	Latitude	Longitude
Mariana R. Urbano	-22.7342864	-47.6480644
Li-Ping Zhu	22.3354512	114.1829159
Zhou Yu	31.230416	121.473701
Esmeralda A. Ramalho	38.571431	-7.913502
Joaquim J. S. Ramalho	38.571431	-7.913502
Vivian Lanius	52.5722117	13.4115085
Ursula Gather	41.1362185	-81.4828198
Elizabeth M. Hashimoto	-22.7342864	-47.6480644
Vicente G. Cancho	-22.0087082	-47.8909263
Shao-Lun Lee	43.1225229	-77.6665722
Jin-Mao Wei	43.8627561	125.3334944
Qing Hu	30.3135522	-81.6004765
Shu-Qin Wang	39.9532914	116.3060482
Marco Antoniotti	35.7967287	-86.4125492
Marco Carreras	45.4654219	9.1859243
Farinaccio Antonella	45.4654219	9.1859243
Italo Zoppis	45.4654219	9.1859243
A. de Carvalho	-22.0087082	-47.8909263
Cornelia Caragea	42.0277899	-93.6396252
Drena Dobbs	42.0277899	-93.6396252
Vasant G. Honavar	42.0277899	-93.6396252
Jia Song	30.2919691	120.1638917
Chunmei Liu	42.3591	-71.0934
Yinglei Song	33.9566656	-83.375192
Andrew V. Kossenkov	39.95121	-75.1959588
Min Li	43.0765915	-89.4052247
Zhao Cai	28.1402481	112.9891451
Xiajiong Shen	46.8624181	-113.9836203
Maria-Florina Balcan	40.4432289	-79.9441368
Herbert Pang	36.0018986	-78.9402817
Andreas Knoblauch	48.411266	9.94893
GÌ_nther Palm	48.4226264	9.9488069
Eiji Uchibe	34.6937378	135.5021651
Junichiro Yoshimoto	34.6850869	135.8050002
K. Doya	35.6603156	139.3188293
Filip Ponulak	47.9990077	7.8421043
A. Kasiãski	52.406374	16.9251681
Joseph F. Murray	32.8435671	-117.2409404
Viren Jain	42.3591	-71.0934
Moritz Helmstaedter	49.3987524	8.6724335
Kevin Briggman	38.999265	-77.098411
Winfried Denk	49.3987524	8.6724335
JingBo Ni	43.529442	-80.225481
Pascal Matsakis	43.5609901	1.4630574
M. Ferrer	39.4699075	-0.3762881
E. Valveny	41.5028528	2.1025104
Kaspar Riesen	46.9479739	7.4474468
Carlos Ricolfe-Viala	39.4988831	-0.3395407
Antonio-Jose Sanchez-Salmeron	39.4988831	-0.3395407
Rafel Medina-Carnicer	38.1382192	-5.2057909
Marte A. RamÌ_rez-OrtegÌ_n	52.4532523	13.2885484
Ernesto Tapia	52.5200066	13.404954
Lilia L. RamÌ_rez-RamÌ_rez	43.4715646	-80.5431505
RaÌ¼l Rojas	52.4197674	8.9157298
Erik Cuevas	20.6992217	-103.3492584
Anbang Yao	39.904211	116.407395
Xiujuan Chai	45.7473103	126.6329723
D. L. Chu	1.297332	103.7799067
Goh Siong Thye	1.297332	103.7799067
P. L. Lin	43.1225229	-77.6665722
Y. H. Lai	22.3771304	114.1974398
P. W. Huang	43.1225229	-77.6665722
Maria L. Rizzo	39.324866	-82.102462
Honggang Wang	37.873499	112.562678
Kimberly Andrews Espy	40.818253	-96.6952254
Z.-Y. Wang	41.2453849	-96.01896
Francesco Orabona	44.4056499	8.946256
Claudio Castellini	44.4017564	8.960564
Barbara Caputo	59.4053774	17.9446746
Giulio Sandini	44.4056499	8.946256
Hung-Ming Sun	43.1225229	-77.6665722
Riadh Ksantini	45.4009928	-71.8824288
B. Boufama	42.3168908	-83.0382508
Djemel Ziou	45.3816115	-71.9272467
Bernard Colin	45.4009928	-71.8824288
Saeed Dabbaghchian	38.096239	46.2738013
Masoumeh P. Ghaemmaghami	35.6891975	51.3889736
A. Aghagolzadeh	38.0540346	46.3644665
Manuel Mucientes	42.8782132	-8.5448445
A. BugarÌ_n	42.8782132	-8.5448445
Jian Yang	39.904211	116.407395
Matej PerÁe	46.0569465	14.5057515
Matej Kristan	46.0569465	14.5057515
Janez Pers	46.0569465	14.5057515
G. MuÁi€	46.0569465	14.5057515
Goran Vu€kovi€	46.0569465	14.5057515
Indriyati Atmosukarto	45.7399332	7.4674717
Katarzyna Wilamowska	47.6498128	-122.3037817
Carrie Heike	47.6498128	-122.3037817
Linda G Shapiro	47.661282	-122.3131454
Wen-Hsiung Lin	25.0329636	121.5654268
Leticia Rittner	-22.9099384	-47.0626332
R. A. Lotufo	-22.8127125	-47.0675404
Carlos Santos	38.7325997	-9.1603293
N. S. T. Hirata	-23.5634327	-46.7159511
Maria E. Buemi	-34.6036844	-58.3815591
Julio Jacobo	-34.5101473	-58.6864035
Marta Mejail	-34.5101473	-58.6864035
Hemerson Pistori	-20.4697105	-54.6201211
Valguima Victoria Viana Aguiar Odakura	-22.223561	-54.8125486
JoÌ£o Bosco Oliveira Monteiro	-20.4697105	-54.6201211
Antonia Railda Roel	-20.4697105	-54.6201211
Jonathan de Andrade Silva	-23.5624196	-46.6911948
Bruno Brandoli Machado	-23.5624196	-46.6911948
Stefanos K. Goumas	40.937607	24.412866
Ioannis Dimou	35.240117	24.8092691
M. Zervakis	35.5138298	24.0180367
Chunyu Gao	40.1093094	-88.2283887
Hong Hua	21.3069444	-157.8583333
Narendra Ahuja	43.1225229	-77.6665722
Yi Yao	42.8000049	-73.8914407
D. L. Page	35.9398478	-83.9432552
Besma Abidi	35.9578144	-83.9244563
Andreas Koschan	35.9398478	-83.9432552
Mongi A. Abidi	35.9398478	-83.9432552
Etienne Grossmann	38.0156511	-84.505177
Suresh Lodha	29.7811017	-95.7403296
John Mallon	53.3853811	-6.2588538
Zuzana Kukelova	50.0755381	14.4378005
TomÌÁÁ Pajdla	50.0755381	14.4378005
InSo Kweon	40.4406248	-79.9958864
Damien Michel	35.240117	24.8092691
Manos Tsagkias	52.3561962	4.9470315
Maarten de Rijke	52.3561962	4.9470315
Andrea Romei	43.7199949	10.4073628
Franco Turini	43.7166613	10.3988602
Keke Chen	39.758818	-84.1439147
Chris H. Q. Ding	37.8764984	-122.2804342
Masahiro Kimura	35.6689735	139.4776614
H. Motoda	35.7103347	139.4631912
Gianni Costa	39.3524594	16.2218533
G. Manco	39.3317751	16.1839028
Riccardo Ortale	39.3317751	16.1839028
